,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,0.003526681581865237,2023-12-26 12:11:18.798889,2023-12-26 13:15:47.120705,0 days 01:04:28.321816,0.15417883917239572,0.004728183671612028,1.3502739630596476e-09,0.5366006860776358,COMPLETE
1,1,0.0009583683529739852,2023-12-26 12:11:18.802402,2023-12-26 13:13:50.590265,0 days 01:02:31.787863,0.6819650629196939,0.3633035583136789,2.950608545261203e-06,0.013305362434000986,COMPLETE
2,2,2.309486521890617,2023-12-26 12:11:18.824489,2023-12-26 13:16:25.647680,0 days 01:05:06.823191,0.5573255979113577,0.060850272374956056,1.8637965433256168e-05,1.7414489989069735,COMPLETE
3,3,0.0015813251855439168,2023-12-26 12:11:18.840747,2023-12-26 13:15:40.690555,0 days 01:04:21.849808,0.7077283772431014,0.024769598906719533,1.649148822054826e-08,0.15278270199632635,COMPLETE
4,4,152.52163371365057,2023-12-26 12:11:18.957998,2023-12-26 13:16:34.152015,0 days 01:05:15.194017,0.7811719318665564,0.001945984488120439,7.627667940782636e-07,3.0591125896575524,COMPLETE
5,5,3.7475086951786403,2023-12-26 12:11:18.960866,2023-12-26 13:13:59.295794,0 days 01:02:40.334928,0.22636415996819415,0.012387756801112215,0.0004975326280381104,4.196769056722295,COMPLETE
6,6,0.000967712090873778,2023-12-26 12:11:18.965043,2023-12-26 13:15:45.964532,0 days 01:04:26.999489,0.49300652519733157,0.31442099853292765,0.0005450265144121492,0.11421034779600497,COMPLETE
7,7,0.14919941131252365,2023-12-26 12:11:19.001019,2023-12-26 13:15:53.099353,0 days 01:04:34.098334,0.24153144118748882,0.14666556948725354,7.817464269909645e-09,5.1425587358401,COMPLETE
8,8,0.0008195644658337566,2023-12-26 12:11:19.010860,2023-12-26 13:14:20.489916,0 days 01:03:01.479056,0.9537819160213004,0.7053698701624793,0.0007402585675934344,1.0890973766146619,COMPLETE
9,9,25.602544196889355,2023-12-26 12:11:19.026652,2023-12-26 13:15:28.521770,0 days 01:04:09.495118,0.8220458154433851,0.0027835052622719376,3.67181610816212e-05,6.875045818127182,COMPLETE
10,10,0.0015680436804664745,2023-12-26 12:11:19.061449,2023-12-26 13:13:50.435292,0 days 01:02:31.373843,0.20676997599848956,0.04530714545624118,1.017441818838144e-08,0.12170334993043488,COMPLETE
11,11,0.0041002938826509095,2023-12-26 12:11:18.814649,2023-12-26 13:15:01.710640,0 days 01:03:42.895991,0.15483462671672188,0.011295131849114449,0.008848591332599434,1.1512698225188518,COMPLETE
12,12,0.00634863886551715,2023-12-26 12:11:19.077148,2023-12-26 13:15:05.875271,0 days 01:03:46.798123,0.5241586927923697,0.0018494445193036804,0.009746746938626325,1.119416770149268,COMPLETE
13,13,0.8746070130017362,2023-12-26 12:11:19.081761,2023-12-26 13:16:34.518820,0 days 01:05:15.437059,0.8508824988076419,0.11977715154045407,2.342792230833511e-09,1.9309663586629864,COMPLETE
14,14,0.0046987149980826865,2023-12-26 12:11:18.836538,2023-12-26 13:16:24.692040,0 days 01:05:05.855502,0.577944024220141,0.007661952253096726,4.813710476115497e-07,0.035146600118328465,COMPLETE
15,15,0.0009555777008965297,2023-12-26 12:11:19.125336,2023-12-26 13:16:36.091212,0 days 01:05:16.965876,0.4894508495081098,0.43866418974271204,0.0012054052727911355,0.051001471295296995,COMPLETE
16,16,0.10670604288024994,2023-12-26 12:11:19.136640,2023-12-26 13:16:28.565810,0 days 01:05:09.429170,0.06110802877422439,0.32301401490923615,1.7602546000876106e-07,1.7758039589609105,COMPLETE
17,17,0.0008780277615339983,2023-12-26 12:11:19.171268,2023-12-26 13:16:07.878813,0 days 01:04:48.707545,0.306104575787845,0.22501601771130003,2.2326344403885337e-05,0.7242391452864049,COMPLETE
18,18,0.000918684453962253,2023-12-26 12:11:19.140202,2023-12-26 13:15:24.543989,0 days 01:04:05.403787,0.6497182192835939,0.12750471010537037,8.772477306809727e-09,0.24244588289086952,COMPLETE
19,19,18.3935772503784,2023-12-26 12:11:19.112787,2023-12-26 13:15:08.842066,0 days 01:03:49.729279,0.517870511881259,0.009624934842018814,6.8366149119036015e-06,2.858866100730316,COMPLETE
20,20,0.006098924220319287,2023-12-26 12:11:19.222477,2023-12-26 13:16:17.656971,0 days 01:04:58.434494,0.9031365917128868,0.007038705944803258,0.0014608595882884298,0.10967739558937319,COMPLETE
21,21,0.08102586623501792,2023-12-26 12:11:19.228346,2023-12-26 13:16:43.237554,0 days 01:05:24.009208,0.23807290193657626,0.21522562673774592,0.0031210014435372594,3.2916614092726992,COMPLETE
22,22,0.006702486034335335,2023-12-26 12:11:19.233510,2023-12-26 13:14:54.146377,0 days 01:03:34.912867,0.0629565894273586,0.0018407795864497701,3.4540432212699645e-06,0.4376312207885202,COMPLETE
23,23,0.004454354336770301,2023-12-26 12:11:19.247754,2023-12-26 13:16:42.904184,0 days 01:05:23.656430,0.1547488654126541,0.002630960343231917,2.0582804763047192e-09,0.5062508860818489,COMPLETE
24,24,0.07371707299735576,2023-12-26 12:11:19.051433,2023-12-26 13:15:24.672797,0 days 01:04:05.621364,0.45672475596339424,0.18211642196327782,3.991256045541002e-07,2.6060992185159133,COMPLETE
25,25,0.0010283359041533804,2023-12-26 12:11:19.315710,2023-12-26 13:17:13.308194,0 days 01:05:53.992484,0.9131220134207866,0.11215148638775513,8.130588877965454e-06,0.2557975287893174,COMPLETE
26,26,0.0008216791897973462,2023-12-26 12:11:19.335260,2023-12-26 13:15:10.280305,0 days 01:03:50.945045,0.3175079968342919,0.3105622069313156,3.390488587663931e-07,0.741560543871622,COMPLETE
27,27,0.0008837378468694344,2023-12-26 12:11:19.395470,2023-12-26 13:15:09.084590,0 days 01:03:49.689120,0.728385416453019,0.8384796595162801,0.007536499666546359,0.3274168060304849,COMPLETE
28,28,0.0010246051564822417,2023-12-26 12:11:18.977098,2023-12-26 13:16:07.758728,0 days 01:04:48.781630,0.37582719835887035,0.06578775795209267,7.866013206783332e-07,0.6321144968169398,COMPLETE
29,29,0.010947458637937649,2023-12-26 12:11:18.849095,2023-12-26 13:13:59.176959,0 days 01:02:40.327864,0.38837194526807184,0.00175431456552642,4.2452266001926326e-09,0.5596033546481851,COMPLETE
