,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,0.31274204424652813,2023-12-15 23:21:51.448142,2023-12-15 23:52:31.277120,0 days 00:30:39.828978,0.4548079824935084,0.028369683948665323,6.171338578692884e-08,0.7129000251158999,COMPLETE
1,1,0.027279272369303536,2023-12-15 23:21:55.408545,2023-12-15 23:52:13.254828,0 days 00:30:17.846283,0.8797479516818264,0.06778569489845482,8.929504916839654e-06,0.05690354221657304,COMPLETE
2,2,0.2642245359215618,2023-12-15 23:21:56.698541,2023-12-15 23:52:44.182545,0 days 00:30:47.484004,0.28604745595434,0.2961099628170625,2.2717749386806654e-05,1.9383670586656399,COMPLETE
3,3,180.5158391892597,2023-12-15 23:21:59.412270,2023-12-15 23:52:28.001176,0 days 00:30:28.588906,0.012587248771805615,0.005883155344309721,0.00018378604720639775,2.6199122062597797,COMPLETE
4,4,0.02471608723554856,2023-12-15 23:22:03.132280,2023-12-15 23:52:21.360131,0 days 00:30:18.227851,0.7318169624291625,0.21761349941973762,0.0016235655672490737,0.010371010115232334,COMPLETE
5,5,557.828866167321,2023-12-15 23:22:04.614736,2023-12-15 23:52:06.369960,0 days 00:30:01.755224,0.0495750788624868,0.010545686020348059,1.6113913384206747e-08,2.927388701169652,COMPLETE
6,6,0.026778581703073814,2023-12-15 23:22:09.381775,2023-12-15 23:52:28.900793,0 days 00:30:19.519018,0.6739470899671653,0.614262293837134,6.058540626191954e-08,2.6319765164422115,COMPLETE
7,7,0.02995493896397951,2023-12-15 23:22:11.934525,2023-12-15 23:52:59.445249,0 days 00:30:47.510724,0.7629394531613721,0.0890763666298791,0.007463376576542829,0.035645712042681924,COMPLETE
8,8,0.0895945182821218,2023-12-15 23:22:13.376883,2023-12-15 23:52:47.806150,0 days 00:30:34.429267,0.9038687882199405,0.1910422842316654,1.4040718742226488e-08,0.2488233103431151,COMPLETE
9,9,0.009899480076283614,2023-12-15 23:22:15.393139,2023-12-15 23:52:49.926687,0 days 00:30:34.533548,0.3884504110135213,0.0748792976685435,2.2235734891358828e-06,0.11832438939526095,COMPLETE
10,10,1.4993360505264206,2023-12-15 23:22:16.391200,2023-12-15 23:52:42.216333,0 days 00:30:25.825133,0.033838420008653114,0.2639103764500042,0.00010145365772573712,2.285510352767682,COMPLETE
11,11,0.08911861910055181,2023-12-15 23:22:06.092619,2023-12-15 23:52:19.787835,0 days 00:30:13.695216,0.480506007742285,0.01803848854112464,5.627292761201278e-08,0.21265364850407165,COMPLETE
12,12,24.800028779517444,2023-12-15 23:22:06.094144,2023-12-15 23:52:53.508588,0 days 00:30:47.414444,0.8486368759234529,0.01786561619686912,5.982069593842703e-05,2.9594051580462524,COMPLETE
13,13,2.6514482039062774,2023-12-15 23:22:03.132184,2023-12-15 23:52:40.011406,0 days 00:30:36.879222,0.5752701367818941,0.011636991193824145,3.6067279301065964e-08,1.0315899792004382,COMPLETE
14,14,0.04716843360860898,2023-12-15 23:22:30.954333,2023-12-15 23:53:12.821542,0 days 00:30:41.867209,0.6819598195880231,0.02353184489912684,0.00014052883812951434,0.014321713769773972,COMPLETE
15,15,5.146107201148866,2023-12-15 23:22:14.387464,2023-12-15 23:53:02.891772,0 days 00:30:48.504308,0.9919429764395983,0.06463448936997657,8.014755666443719e-09,4.651922064820728,COMPLETE
16,16,106.45417655172378,2023-12-15 23:21:55.409884,2023-12-15 23:53:21.231719,0 days 00:31:25.821835,0.47094497681390934,0.004607586220390406,1.7238744339820574e-05,2.2671317178331614,COMPLETE
17,17,39.43983620973687,2023-12-15 23:22:41.316474,2023-12-15 23:52:39.514164,0 days 00:29:58.197690,0.4846212823526731,0.0157116079658601,4.066344897193898e-06,6.765301278965004,COMPLETE
18,18,2.2727113462187134,2023-12-15 23:22:43.284269,2023-12-15 23:53:08.035137,0 days 00:30:24.750868,0.12688121138578223,0.05419014728625628,0.0002570342702327097,1.7569563301174407,COMPLETE
19,19,0.24265421643258533,2023-12-15 23:22:48.958073,2023-12-15 23:52:49.709187,0 days 00:30:00.751114,0.9118159782463059,0.1998020997237629,1.3439986010572735e-07,2.494563964464447,COMPLETE
