,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,24.65879601763162,2023-12-17 11:10:50.947501,2023-12-17 12:03:33.223885,0 days 00:52:42.276384,0.9272114933410357,0.020020938404648504,3.545261688539879e-07,9.297055583740045,COMPLETE
1,1,0.005216136727286289,2023-12-17 11:10:50.961155,2023-12-17 12:04:14.188981,0 days 00:53:23.227826,0.13191869928230093,0.039363404122601024,2.3090066485179484e-07,0.0638864474978158,COMPLETE
2,2,0.020297138688405308,2023-12-17 11:10:50.845921,2023-12-17 12:03:27.288825,0 days 00:52:36.442904,0.5966820846793519,0.044931822774975816,1.4622892424523255e-07,0.2582577657237249,COMPLETE
3,3,0.003590231016184556,2023-12-17 11:10:50.979520,2023-12-17 12:04:04.258711,0 days 00:53:13.279191,0.3829436805165993,0.7453213623527614,1.2037395515915107e-05,0.4516300724722389,COMPLETE
4,4,0.17212141356512842,2023-12-17 11:10:51.004840,2023-12-17 12:03:58.072141,0 days 00:53:07.067301,0.8109671671077441,0.005296085699770844,2.2720493973760615e-09,0.12138295684740269,COMPLETE
5,5,0.12023230221589824,2023-12-17 11:10:51.059405,2023-12-17 12:04:03.752509,0 days 00:53:12.693104,0.1881604539627758,0.2176673422538816,0.00010934770326668734,2.4968891584805166,COMPLETE
6,6,0.0805079928437939,2023-12-17 11:10:51.094409,2023-12-17 12:03:01.075364,0 days 00:52:09.980955,0.5271864271499176,0.40497300672974845,1.5819115692420072e-09,1.232697204583014,COMPLETE
7,7,0.05035237960528851,2023-12-17 11:10:50.836892,2023-12-17 12:03:10.420492,0 days 00:52:19.583600,0.5217744336669576,0.008945644809163654,0.000348827181789297,0.09069238423239429,COMPLETE
8,8,0.08083906092722036,2023-12-17 11:10:50.841073,2023-12-17 12:04:04.833264,0 days 00:53:13.992191,0.42009391620568404,0.002068056169100721,0.0040346655763956124,0.42915075259114316,COMPLETE
9,9,1.0971375718981913,2023-12-17 11:10:50.971692,2023-12-17 12:03:17.766670,0 days 00:52:26.794978,0.9841705965573789,0.007540335327370845,3.609207365438128e-07,0.9136729751213607,COMPLETE
10,10,0.03036201848738251,2023-12-17 11:10:51.138669,2023-12-17 12:03:06.875405,0 days 00:52:15.736736,0.6955206074400543,0.0275617025065225,0.006584594945820106,0.2805926104040172,COMPLETE
11,11,0.0425181784931801,2023-12-17 11:10:51.133981,2023-12-17 12:04:17.815947,0 days 00:53:26.681966,0.879067520976976,0.015799864377243872,9.29054183573395e-06,0.13469003159794848,COMPLETE
12,12,0.019954756304467566,2023-12-17 11:10:50.837126,2023-12-17 12:04:37.188663,0 days 00:53:46.351537,0.6726929524275496,0.9413024279339065,3.9400379672622527e-05,0.013361627503858234,COMPLETE
13,13,0.08639419098326052,2023-12-17 11:10:51.369126,2023-12-17 12:03:49.531302,0 days 00:52:58.162176,0.682100462927121,0.7601720606191603,1.3669167929837158e-09,0.3943999761398006,COMPLETE
14,14,0.0938409791304966,2023-12-17 11:10:51.393783,2023-12-17 12:02:54.170289,0 days 00:52:02.776506,0.3751619442507649,0.0020067680979974013,5.75131384186607e-05,0.35943413012402675,COMPLETE
15,15,0.1302949986229873,2023-12-17 11:10:51.402879,2023-12-17 12:03:04.515094,0 days 00:52:13.112215,0.14725746614726554,0.0028060231202022747,4.25810613653993e-09,0.1173008664686255,COMPLETE
16,16,0.04786720717931122,2023-12-17 11:10:51.884869,2023-12-17 12:03:17.661803,0 days 00:52:25.776934,0.22305528001390584,0.00382956324083957,5.909713529935084e-09,0.017731775659282835,COMPLETE
17,17,0.09411911077440797,2023-12-17 11:10:51.918924,2023-12-17 12:03:14.609729,0 days 00:52:22.690805,0.6907343045928673,0.0017535496339994305,0.00010722520843843745,0.08841352787286201,COMPLETE
18,18,121.1501083959486,2023-12-17 11:10:52.913936,2023-12-17 12:03:17.753632,0 days 00:52:24.839696,0.970146228074203,0.0018795091619290354,0.00035501118293939363,3.6580167404756936,COMPLETE
19,19,0.06489155585273523,2023-12-17 11:10:52.917855,2023-12-17 12:03:06.483568,0 days 00:52:13.565713,0.9486261403671402,0.009219461794897722,3.671143177451139e-07,0.09808543985394635,COMPLETE
