,number,value,datetime_start,datetime_complete,duration,params_iss,params_lr,params_ridge,params_sr,state
0,0,0.010867598674930137,2023-12-17 12:58:43.777206,2023-12-17 14:19:20.313738,0 days 01:20:36.536532,0.23842500292247504,0.05110951188753825,0.00030026983324312677,0.0447599374359377,COMPLETE
1,1,0.02188423023387766,2023-12-17 12:58:43.815361,2023-12-17 14:15:05.779235,0 days 01:16:21.963874,0.861780134823454,0.8064686021658354,1.0797255760532681e-08,0.2810791239367044,COMPLETE
2,2,0.11092456035854581,2023-12-17 12:58:43.838292,2023-12-17 14:14:00.143760,0 days 01:15:16.305468,0.21395012936105373,0.10543238265965914,2.8685167867906946e-09,0.9918883496297769,COMPLETE
3,3,0.002269967982770608,2023-12-17 12:58:43.831784,2023-12-17 14:15:17.252128,0 days 01:16:33.420344,0.05149642735978288,0.270051165245735,1.5838543746634222e-05,0.4650867210512849,COMPLETE
4,4,0.005502743376860989,2023-12-17 12:58:43.957440,2023-12-17 14:15:54.795531,0 days 01:17:10.838091,0.4888050833839085,0.2122355664669438,9.661732113886951e-05,0.2565479759934953,COMPLETE
5,5,0.016976346012548035,2023-12-17 12:58:43.959819,2023-12-17 14:16:24.597520,0 days 01:17:40.637701,0.8977653532632521,0.1284320300741579,8.499385969490934e-07,0.014633430290879133,COMPLETE
6,6,0.0023319447083085497,2023-12-17 12:58:43.954167,2023-12-17 14:15:50.318341,0 days 01:17:06.364174,0.14109039160199865,0.27061794198577604,1.9444968685334082e-08,0.15101489401891582,COMPLETE
7,7,0.2501423702556432,2023-12-17 12:58:43.987096,2023-12-17 14:18:25.791618,0 days 01:19:41.804522,0.8437584537944768,0.09180569300040967,4.3497882430468883e-07,2.4887402401069103,COMPLETE
8,8,0.1661503014587692,2023-12-17 12:58:43.982585,2023-12-17 14:14:02.425373,0 days 01:15:18.442788,0.5589066851202439,0.024000994584793885,3.571003268183082e-08,0.7495023639130659,COMPLETE
9,9,0.08700606488061857,2023-12-17 12:58:43.994218,2023-12-17 14:15:01.735829,0 days 01:16:17.741611,0.02745950802636732,0.33098772408574745,0.0008456801943756503,3.0833494365099487,COMPLETE
10,10,0.02030735833850393,2023-12-17 12:58:44.024090,2023-12-17 14:15:45.701625,0 days 01:17:01.677535,0.6392058210205935,0.7507337374911244,0.002955515294619453,0.021883895874496833,COMPLETE
11,11,0.041585780486882364,2023-12-17 12:58:44.031885,2023-12-17 14:15:40.607523,0 days 01:16:56.575638,0.504018074270393,0.011799067640823863,1.4659610966249113e-09,0.07102527284658362,COMPLETE
12,12,3.003849665547516,2023-12-17 12:58:44.152871,2023-12-17 14:14:52.761068,0 days 01:16:08.608197,0.9371504400310033,0.04356273545620813,1.3662469441390068e-06,3.0204109666356,COMPLETE
13,13,0.010442922667216614,2023-12-17 12:58:44.162182,2023-12-17 14:16:54.984599,0 days 01:18:10.822417,0.6208961591182147,0.1341449820705892,1.1513031716608302e-06,0.05464662199941213,COMPLETE
14,14,0.01599610264632277,2023-12-17 12:58:44.176638,2023-12-17 14:13:56.416069,0 days 01:15:12.239431,0.46800819974958174,0.044127244835384855,1.2801281208084972e-07,0.01480383830942208,COMPLETE
15,15,0.016183776259113387,2023-12-17 12:58:43.841664,2023-12-17 14:16:41.002794,0 days 01:17:57.161130,0.5675489291296053,0.0695136934672419,0.0008084795152324759,0.08752989746821933,COMPLETE
16,16,0.05301065797794863,2023-12-17 12:58:44.360498,2023-12-17 14:14:43.228267,0 days 01:15:58.867769,0.5968933895802935,0.03171731587811673,2.4118731288155704e-09,0.3510130467961354,COMPLETE
17,17,0.008016998065228206,2023-12-17 12:58:44.412716,2023-12-17 14:16:08.945323,0 days 01:17:24.532607,0.4919582261564538,0.1039898971330768,5.085903520270908e-07,0.2924897610539819,COMPLETE
18,18,0.014879570154400508,2023-12-17 12:58:44.438120,2023-12-17 14:15:54.916350,0 days 01:17:10.478230,0.7010256419582495,0.059895625355132556,5.8310906325800416e-05,0.16257766376266133,COMPLETE
19,19,0.05410273852550735,2023-12-17 12:58:44.903097,2023-12-17 14:18:04.020930,0 days 01:19:19.117833,0.1437421141434675,0.0011781898289359779,2.8949118351801145e-05,0.14443085151822074,COMPLETE
